label,tweet
sadness,"Sebagai anggota komite medik di RS tempat aku bekerja, kami kdg membicarakan death case di rapat komite medik. Membicarakan pasien yang meninggal dalam perawatan di RS bagaimanapun tidak pernah menyenangkan wlopun bukan pasien sendiri pun"
anger,  Halaaahh di kritik dikit langsung ciduk... apalagi ketemu... noh kacung2mu braninya emang di medsos doank giliran diskusi terbuka plangaplongo.. ngalor ngidul kabuuuurrr
sadness,"dan konten ask fm cuma seru2an aja sama temen2 ngga ada yang berbau seks sama sekali, jawabin pertanyaan juga yang normal2 aja tapi kok banyak yang mention kayak gitu ya, sedih akutu"
anger,Klo boleh jujur gua kadang ngerasa sebel sm itu org. Tau ko kalau emg cinta banget sm w1 tapi gausah segitunya. Sungguh. Bnrbnr gamau kalah banget sumpah.
fear,"Lu harus tau rasanya sedeket itu sm orang gila takut banget gua tuh... Trs temen gua ternyata denger dia bilang ""wah gede juga ya pahanya"" Yalord. Aing teh cuma mau piknik naha ada geginian!!! Terus akhirnya aku nelpon temen pake ngomong seakan akan dia bapak gua dan nyuruh jemput:("
love,"Untuk setiap yang aku sayang, mungkin aku tidak selalu ada di sisi kamu selamanya. Namun aku akan sentiasa doa, Moga tetap teguh dalam jagaan"
sadness,Semua tidak sama Tak pernah sama Waktu yang terus berputar tidak akan pernah Sama dengan yang tlah terjadi. Menikmati setiap detik keadaan itu akan lebih menghargai waktu yang Tuhan berikan untuk kita..
anger,"Kita mah ngerasa ga enak kalo membiarkan orang, soalnya udah sering ngerasain ga enaknya di biarkan sama orang. Tapi kok gitu sih mereka..."
love,Dia itu beda dia yang ngenalin semua hal yang ga pernah gue tau sebelumnya dia yang gapernah nunjukin apa apa disosmed dia yang ngajarin gue buat cinta sama alam makanya gue gabisa move on ampe sekarang He's the one !!
fear,"saking terlalu banyak mikir, terlalu jauh pikiran gue, terus jadi takut sakit hati, in the end gue yang nyakitin diri gue sendiri."
anger,"Hati-hati jika belanja di  barang tidak dikirim,uang tidak kembali"
happy,Love this pic terima kasih atas waktu yang sangat indah Note:abaikan muka aku yang kaya babu @ Pantai Legon Prima Anyer
happy,"Selamat ulang tahun himasifo, aku mendoakan yang terbaik untuk mu dalam segala hal semoga bisa memberi manfaat bagi jurusan, almamater dan bangsa. Terimakasih mas hilman yang dulu mengajak ku untuk ikut dan menjadi bagian dari team mu."
anger,"Ndak usah jauh jauh mikir besok pemimpinmu siapa, mikir nanti sahur makan apa aja dulu. Kalo masih berharap dapet takjil saur on the road, fix nggak usah sok koar koar deh gonta ganti pemimpin xixixi"
happy,Kain batik asli Indonesia Pahat kayu buat bikin bangku Makin asik dan hati bahagia Liat yang ayu @8rianna_ penguasa hatiku   #IniSahurTIKETCOMHariKe20
happy,Happy birthday to us  and happy 6th anniv wkwkwk Bentar lagi kita putus huhu aku harus cari pacar baru :3 
fear," Anjay, serem baca replyannya. Dulu gue daftarnya Tekkim karena suka kimia tapi gak lolos. Untung nyasar ke Farmasi, fisikanya gak begitu banyak"
fear,kadang aku terasa sesuatu. takut. takut akan tidak memperoleh yang aku ingini. takut akan kehilangan yang aku ada. takut akan semuanya berubah sekelip mata.
fear,"Kok ngeri bacanya.. Ibuku juga bilang gitu sih, efeknya tuh ke mata. Jd mending gausah."
sadness,"Yah kalo mau ""ke jalan lebih baik"" apa gak bagusan di kasi aja alat musik itu ke kawan kawan yang berbeda ""servernya"", kalo gak mau temen temen yang sama ""servernya"" terjerumus ke hal yang kau maksud tidak baik itu. Jangan di hancurkan lah.."
happy,"Menikmati setiap denyut jantungku merasakan setiap hirup nafas ini,perlahan sadar setiap mata ini membuka dan kembali menutup. Rasakan, nikmati, renungkan,mulai Menutup mata, menghelai nafas panjang dan tersenyum, merasa tubuh ini seakan melayang lepas bersama seluruh nikmat-NYA"
fear,"Harap diperjelas Pak Ketua  agar masyarakat paham, mana atau apa kriteria gratifikasi lebaran yang dilarang itu & dimasyarakatkan kriteria itu...?"
fear,"Saat sendiri, hanya saya yang tau dan mungkin baru-baru ini saya rasakan yang sebenarnya saya alami disana Tertekan, ya saya tertekan disana Malu, takut, merasa bodoh"
anger,SOAL MAHAR ITU URUSAN PARTAI BAPAK JANGAN BAWA2 ISLAM PAK....ISLAM ITU AGAMA YG INDAH DAN CINTA DAMAI. PARTAI BAPAK CARI MAHAR ?
anger,"  Mengakui Jaringan 4G nya LEMAH, ya tolong di perkuat dong, jangan sampai Harga Kuota yang 12 Giga, di Rp. 95.000,- tidak sebanding dengan Kualitas Sinyalnya, perkuat di daerah Sariwates, Kiaracondong, Kota Bandung cc:  "
sadness,Jangan membuat bumi ini menangis dengan keegoisan kita mengeksplorasi segala kekayaan alam yang dimiliki dengan serakah dan tidak bertanggung jawab. Selamat Hari Lingkungan Hidup Sedunia  
anger,Dear  apakah tidak ada sistem yang mendeteksi untuk memperbaharui perubahan harga ongkir? Udh taun 2018 nih nombok terus setiap kirim paket gara2 ongkir ga sesuai.
love,"Bulan purnama jika ada pasangan yang saling membenci dan atau saling mencintai pada saat bulan purnama bersinar dan mereka di bawahnya, maka mereka akan menjadi pasangan sejati yang akan menjadi pasangan paling tersohor sealam jagad raya"
love,"Haechan aku sayang kamu. Sayangku ke kamu gak kebagi, ini masalah pribadi tenang aja sayangku ke kamu lebih besar daripada sukaku ke dia yang udah kompre hari ini "
happy,Senyum2 sendiri baca #OldMoneyGakNgerasain karna emg aku ngalamain yang rata2 di twit haha kaya di suruh beli minyak tanah ke warung terus dirigenya ditendang2 pake dengkul kaki
love,tapi yah aku tuh suka namjoon bukan karna makin sini makin cakep tapi karna personality sama talent dia juga.kalo yang belum jatuh cinta sama namjoon coba tonton solo vlive dia yang pake pajama ryan kalian pasti akan jatuh cinta sama bapak yang satu ini
happy,Happy anniversary 2nd.. Semoga Allah SWT senantiasa melindungi dan menjaga kita dalam menempuh setiap langkah kehidupan. Dan lekas diberi kepercayaan tuk
fear,"Baca ini aku jadi takut:( padahal pakaianku sehari-hari juga udah syari, kerudung menutup dada dan selalu pakai rok."
sadness,Sedih ya di ig banya yang hate comment ke via vallen. Mungkin belum pernah ngerasain sakitnya sexual harasmen even itu bukan kontak fisik. Saya membayangkan diri saya sendiri dinilai segitu rendahnya aja pengen ngaplok orangnya. To be true aja.
anger, Gila kok ada ya perempuan pikirannya malah nyinyirin. Banyak lho kasus korban sexual harassment ga berani speak up yang berakhir bunuh diri.
